iter	TotalF1:average=Macro	MultiClass
189	0.9690262809	0.3151270102
190	0.9694972251	0.3137899347
191	0.9704013848	0.3118275684
192	0.9709132488	0.3094687278
193	0.9712058316	0.3083582882
194	0.9713456892	0.3067161818
195	0.9713684504	0.3055539288
196	0.9715957435	0.3035785486
197	0.9720725508	0.3018782258
198	0.9718504255	0.3007901798
199	0.9720316166	0.2987170222
200	0.9727393545	0.2965602433
201	0.9734540611	0.2943176973
202	0.9736494022	0.2925347568
203	0.9739202315	0.291044491
204	0.974076381	0.2900086217
205	0.9739292322	0.2887066768
206	0.9740371613	0.2876380305
207	0.9743712244	0.2864546645
208	0.9742981027	0.2851349293
209	0.9744755352	0.2838241758
210	0.9748333416	0.2825496605
211	0.9747877346	0.2813621238
212	0.9749653728	0.2800024816
213	0.975305375	0.2781583828
214	0.9754875852	0.277134541
215	0.9755629506	0.2759545496
216	0.9757359289	0.2750895399
217	0.9758241436	0.2743842274
218	0.9757147813	0.2731295618
219	0.9761537096	0.2714540381
220	0.9762836781	0.2703447406
221	0.9761133144	0.2690773899
222	0.9766781155	0.2678406357
223	0.9766594824	0.2666132958
224	0.9769159235	0.2649384989
225	0.9772065042	0.2638826415
226	0.97737073	0.2626659274
227	0.9776326544	0.2617747687
228	0.9777050572	0.2602657434
229	0.977906274	0.2594218812
230	0.9778504125	0.2582666024
231	0.9779209928	0.2571638292
232	0.9780352517	0.2557048175
233	0.9782945322	0.2544628197
234	0.9784674983	0.2535004652
235	0.9785072281	0.2526732165
236	0.9786762169	0.2517449716
237	0.9786727182	0.2508468906
238	0.978795741	0.2498423275
239	0.9792691892	0.2481611448
240	0.9794349749	0.2467347197
241	0.9795774075	0.2461654303
242	0.9798835369	0.2454459791
243	0.9800972788	0.24476197
244	0.9801554825	0.2442170817
245	0.9801916118	0.2432018236
246	0.9801176809	0.2422073843
247	0.98016007	0.2408940349
248	0.9802351031	0.24014596
249	0.9804311494	0.239085309
250	0.9804158706	0.2384139677
251	0.9806611565	0.237072808
252	0.9807827392	0.23577782
253	0.9806831401	0.2350898825
254	0.9808031812	0.234304358
255	0.9809164939	0.2333845929
256	0.9809648857	0.2327475516
257	0.9811521577	0.2317119246
258	0.9811378297	0.2312709745
259	0.9812317813	0.2300346357
260	0.9813523129	0.2294617294
261	0.9815305007	0.2289073922
262	0.9815336275	0.2282599328
263	0.9815840898	0.2272105824
264	0.9816772701	0.2264953365
265	0.9818677739	0.2257655191
266	0.9819450936	0.2243825141
267	0.9821457698	0.2233929897
268	0.9821871387	0.2228233542
269	0.9822127521	0.2220951462
270	0.9822466974	0.2212201165
271	0.9822984395	0.2201342336
272	0.9823562191	0.2193423406
273	0.9826990286	0.2184140092
274	0.9830019009	0.2171427993
275	0.9832272853	0.2164672873
276	0.9832712333	0.2157349087
277	0.9834174024	0.2148388698
278	0.9835315329	0.2142146174
279	0.9835490151	0.2137266303
280	0.98353483	0.2129181065
281	0.9837168904	0.2121270268
282	0.9837733065	0.2112360239
283	0.9838058449	0.210325154
284	0.9836866849	0.209726739
285	0.9838144951	0.2089635908
286	0.9837531027	0.2081128756
287	0.9838906014	0.2073981142
288	0.9838544644	0.2068834763
289	0.9839413487	0.2061218337
290	0.9841560437	0.2052330113
291	0.9842555314	0.2045550765
292	0.9842555314	0.2035207648
293	0.9842927756	0.2030706946
294	0.9843931568	0.2022147358
295	0.9843881702	0.2014828936
296	0.9845192574	0.200854834
297	0.9845693603	0.200205419
298	0.9845480782	0.1997544836
299	0.9845421953	0.1991200554
300	0.9845720054	0.1986562618
301	0.9845061953	0.1976644183
302	0.9846830241	0.1967050923
303	0.9848139321	0.1960245617
304	0.9847983599	0.1951114593
305	0.9848966481	0.194733329
