iter	TotalF1:average=Macro	MultiClass
459	0.9991671532	0.06691826837
460	0.9991671532	0.06678397554
461	0.9991671532	0.06657509771
462	0.9991671532	0.06656977732
463	0.9991671532	0.06647308117
464	0.9991671532	0.06631984068
465	0.9991671532	0.06616479169
466	0.9991671532	0.06603449745
467	0.9991671532	0.0660297633
468	0.9992112699	0.06596236248
469	0.9992112699	0.06585564498
470	0.9992112699	0.06585124819
471	0.9992112699	0.06571573864
472	0.9992112699	0.06559873984
473	0.9992112699	0.06543250808
474	0.9992112699	0.06533282544
475	0.9992112699	0.06511673023
476	0.9992112699	0.06497472782
477	0.9992112699	0.06477214375
478	0.9992112699	0.06455146372
479	0.9992112699	0.06438430283
480	0.9992112699	0.06427818815
481	0.9992112699	0.06419005883
482	0.9992112699	0.06418576712
483	0.9992553863	0.06418189021
484	0.9992553863	0.06417820686
485	0.9992553863	0.06404299043
486	0.9992553863	0.06377669995
487	0.9992553863	0.06355842018
488	0.9992553863	0.06344780917
489	0.9992553863	0.06332628085
490	0.999345579	0.06317796807
491	0.999345579	0.06307410433
492	0.999345579	0.06294350038
493	0.999345579	0.06277795441
494	0.999345579	0.06277448123
495	0.999345579	0.06264279329
496	0.999345579	0.06251950625
497	0.999345579	0.06251598882
498	0.999345579	0.06235684723
499	0.999345579	0.06222892006
500	0.999345579	0.06204658887
501	0.999345579	0.06193219496
502	0.999345579	0.06178377711
503	0.999345579	0.06167406205
504	0.999345579	0.06158776886
505	0.999345579	0.0613888239
506	0.999345579	0.06123408462
507	0.999345579	0.06100417411
508	0.999345579	0.06077377137
509	0.999345579	0.06068581902
510	0.999345579	0.06053182637
511	0.999345579	0.06041907504
512	0.999345579	0.06024979041
513	0.999345579	0.06011303096
514	0.999345579	0.05999723229
515	0.999345579	0.05984847707
516	0.9994485639	0.05971388559
517	0.9994485639	0.05955449513
518	0.9994485639	0.05941932847
519	0.9994485639	0.05933252095
520	0.9994485639	0.05915974102
521	0.9994485639	0.05909635538
522	0.9996566823	0.05900504599
523	0.9996566823	0.05890397517
524	0.9996566823	0.05879185985
525	0.9996566823	0.05870082699
526	0.9996566823	0.05851771046
527	0.9996566823	0.05851457464
528	0.9996566823	0.05844545935
529	0.9996566823	0.05828616843
530	0.9996566823	0.05828314875
531	0.9996566823	0.05825542963
532	0.9996566823	0.05803789648
533	0.9996566823	0.05787803592
534	0.9996566823	0.05787504942
535	0.9996566823	0.0577586258
536	0.9996566823	0.0576416989
537	0.9996566823	0.05752856043
538	0.9996566823	0.05741323186
539	0.9996566823	0.05725811097
540	0.9996566823	0.05708983291
541	0.9996566823	0.05708690172
542	0.9996566823	0.056997434
543	0.9996566823	0.05688665707
544	0.9996566823	0.05675644026
545	0.9996566823	0.05671120036
546	0.9996566823	0.05659041866
547	0.9996566823	0.05643142639
548	0.9996566823	0.05624753559
549	0.9996566823	0.05609574963
550	0.9996566823	0.05598566955
551	0.9996566823	0.0558769168
552	0.9996566823	0.05575296057
553	0.9996566823	0.0556092824
554	0.9996566823	0.05546732422
555	0.9996566823	0.05546450364
556	0.9996566823	0.05534983874
557	0.9996566823	0.05531283382
558	0.9996566823	0.05512716771
559	0.9996566823	0.05501481458
560	0.9996566823	0.05490487829
561	0.9996566823	0.05474218608
562	0.9996566823	0.05473968628
563	0.9996566823	0.05460128425
564	0.9996566823	0.05451139068
565	0.9996983595	0.05441797968
566	0.9996983595	0.05425304207
567	0.9996983595	0.05414269652
568	0.9996983595	0.05405195678
569	0.9996566823	0.05397311878
570	0.9996566823	0.05397051389
571	0.9996566823	0.05387244617
572	0.9996566823	0.05380952509
573	0.9996983595	0.05380703082
574	0.9996983595	0.0538046195
575	0.9996983595	0.05380230773
576	0.9996983595	0.05370093826
577	0.9996983595	0.05356725933
578	0.9996983595	0.05350353079
579	0.9996983595	0.05337722961
580	0.9996983595	0.05337466896
581	0.9996983595	0.0532322241
582	0.9996983595	0.05311910222
583	0.9996983595	0.0530280583
584	0.9996983595	0.05295493889
585	0.9996983595	0.05295273773
586	0.9996983595	0.05282060181
587	0.9996983595	0.05275435688
588	0.9996983595	0.05264736285
589	0.9996983595	0.0525105149
590	0.9996983595	0.05240798403
591	0.9996983595	0.05234793331
592	0.9996983595	0.05224486044
593	0.9996983595	0.05215797549
594	0.9996983595	0.05199245717
595	0.9996983595	0.05190740283
596	0.9996983595	0.05178136158
597	0.9996983595	0.05169278429
598	0.9996983595	0.051690832
599	0.9996983595	0.05160761934
600	0.9996983595	0.05154693814
601	0.9996983595	0.05141691489
602	0.9996983595	0.05133788332
603	0.9996983595	0.05133600294
604	0.9996983595	0.05124209972
605	0.9996983595	0.05113496189
606	0.9996983595	0.05107111169
607	0.9996983595	0.05099643266
608	0.9996983595	0.05088156866
609	0.9996983595	0.05077810312
610	0.9996983595	0.05067691616
611	0.9996983595	0.05058033063
612	0.9996983595	0.05046937672
613	0.9996983595	0.05033772197
614	0.9996983595	0.05033568119
615	0.9996983595	0.05026906018
616	0.9996983595	0.05017556622
617	0.9996983595	0.05009921697
618	0.9996983595	0.04998344043
619	0.9996983595	0.04998147708
620	0.9996983595	0.04997961881
621	0.9996983595	0.04997799836
622	0.9996983595	0.04990109606
623	0.9996983595	0.04989952538
624	0.9996983595	0.04989800448
625	0.9996983595	0.04981155644
626	0.9996983595	0.0497345214
627	0.9996983595	0.04963817368
628	0.9996983595	0.04956206225
629	0.9996983595	0.04956044179
630	0.9996983595	0.04942440684
631	0.9996983595	0.04925440325
632	0.9996983595	0.04911272713
633	0.9996983595	0.0490434238
634	0.9996983595	0.04904195821
635	0.9996983595	0.04889795926
636	0.9996983595	0.04885409093
637	0.9996983595	0.04868067499
638	0.9996983595	0.04855536378
639	0.9996983595	0.04855379863
640	0.9996983595	0.04847843382
641	0.9996983595	0.04841005409
642	0.9996983595	0.04833393159
643	0.9996983595	0.0483323941
644	0.9996983595	0.0482351449
645	0.9996983595	0.04810950185
646	0.9996983595	0.04795884412
647	0.9996983595	0.04788703545
648	0.9996983595	0.04779495178
649	0.9996983595	0.04772213656
650	0.9996983595	0.04765569805
651	0.9996983595	0.0475557057
652	0.9996983595	0.04755428988
653	0.9996983595	0.04746250486
654	0.9996983595	0.04738583484
655	0.9996983595	0.04727475373
656	0.9996983595	0.04718441771
657	0.9996983595	0.0471168731
658	0.9996983595	0.04704813942
659	0.9996983595	0.04696273112
660	0.9996983595	0.04687501659
661	0.9996983595	0.04678244624
662	0.9996983595	0.04678098617
663	0.9996983595	0.04665595148
664	0.9996983595	0.04665450801
665	0.9996983595	0.0465269901
666	0.9996983595	0.04643596277
667	0.9996983595	0.04629271322
668	0.9996983595	0.04616300798
669	0.9996983595	0.04614328327
670	0.9996983595	0.04605301362
671	0.9996983595	0.04596711588
672	0.9996983595	0.04585475721
673	0.9996983595	0.0457665947
674	0.9996983595	0.04567433959
675	0.9996983595	0.04561537009
676	0.9996983595	0.04551474449
677	0.9996983595	0.04546514375
678	0.9996983595	0.04536228657
679	0.9996983595	0.04527588831
680	0.9996983595	0.04524960713
681	0.9996983595	0.04524808623
682	0.9996983595	0.04514345098
683	0.9996983595	0.04503837052
684	0.9996983595	0.04496825143
685	0.9996983595	0.04490651113
686	0.9996983595	0.04481992483
687	0.9996983595	0.04481844264
688	0.9996983595	0.04481698811
689	0.9996983595	0.04473580516
690	0.9996983595	0.04466940813
691	0.9996983595	0.04459763541
692	0.9996983595	0.044481928
693	0.9996983595	0.04438540606
694	0.9996983595	0.04434249729
695	0.9996983595	0.04419382503
696	0.9996983595	0.04412571906
697	0.9996983595	0.04401018033
698	0.9996983595	0.04390723189
699	0.9996983595	0.0439058299
700	0.9996983595	0.04390448321
701	0.9996983595	0.04383035724
702	0.9996983595	0.0438290465
703	0.9996983595	0.04369380242
704	0.9996983595	0.04359800498
705	0.9996983595	0.04352603869
706	0.9996983595	0.04344310532
707	0.9996983595	0.04336086327
708	0.9996983595	0.04325490898
709	0.9996983595	0.0431697551
710	0.9996983595	0.04304958176
711	0.9996983595	0.0429488013
712	0.9996983595	0.04287124639
713	0.9996983595	0.04275083525
714	0.9996983595	0.04261918049
715	0.9996983595	0.04253615586
716	0.9996983595	0.04244990969
717	0.9996983595	0.04237339176
718	0.9996983595	0.0423720589
719	0.9996983595	0.0422748014
720	0.9996983595	0.04220300103
721	0.9996983595	0.04220158521
722	0.9996983595	0.04212259512
723	0.9996983595	0.04204668831
724	0.9996983595	0.04194863165
725	0.9996983595	0.04188158755
726	0.9996983595	0.04178979147
727	0.9996983595	0.04167800522
728	0.9996983595	0.04167670277
729	0.9996983595	0.0415687962
730	0.9996983595	0.04151270259
731	0.9996983595	0.04143747051
732	0.9997584591	0.04132773333
733	0.9997584591	0.04120406468
734	0.9997584591	0.04111404115
735	0.9997584591	0.0410339726
