iter	TotalF1:average=Weighted	MultiClass
155	0.9740807598	0.2027120796
156	0.9740807598	0.2008308597
157	0.9740807598	0.1998704294
158	0.9740807598	0.1983969939
159	0.9745567262	0.1969568568
160	0.9745567262	0.1947172658
161	0.9745567262	0.1927261373
162	0.9745567262	0.1917634491
163	0.9745567262	0.1903228811
164	0.9745567262	0.1894469376
165	0.9745567262	0.1881047307
166	0.9745567262	0.1874236999
167	0.9745567262	0.1861443153
168	0.9745567262	0.1854356564
169	0.9745567262	0.1839571021
170	0.9754299759	0.1827969677
171	0.9754299759	0.1819199556
172	0.9754299759	0.1807839676
173	0.9754299759	0.1800300837
174	0.9754299759	0.1790268411
175	0.9754299759	0.1783113743
176	0.9754299759	0.1765196568
177	0.9754299759	0.1754906132
178	0.9754299759	0.1739651964
179	0.9759331202	0.1730351861
180	0.9759331202	0.1714487051
181	0.9759331202	0.1706890128
182	0.9759331202	0.1695657962
183	0.9763390613	0.1685993335
184	0.9775525937	0.1670509939
185	0.9775525937	0.165983964
186	0.9778974473	0.1649882532
187	0.9778974473	0.1637739659
188	0.9778974473	0.162824859
189	0.9778974473	0.1619132904
190	0.9778974473	0.160757482
191	0.9778974473	0.1595056047
192	0.9778974473	0.1589004948
193	0.9778974473	0.1582817864
194	0.9778974473	0.1574152705
195	0.9778974473	0.1562697688
196	0.9778974473	0.1550158577
197	0.9778974473	0.1541554431
198	0.9778974473	0.153497335
199	0.9778974473	0.1527600658
200	0.9778974473	0.1519701775
201	0.9778974473	0.1508422212
202	0.9778974473	0.1500586927
203	0.9778974473	0.149411753
204	0.9778974473	0.1493832115
205	0.9778974473	0.1486956485
206	0.9778974473	0.1477791851
207	0.9778974473	0.1472736083
208	0.9778974473	0.1467745292
209	0.9778974473	0.1461415328
210	0.9783021783	0.1453514722
211	0.9783021783	0.1448503766
212	0.9783021783	0.144063763
213	0.9783021783	0.1432421706
214	0.9783021783	0.1427063116
215	0.9783021783	0.1420410079
216	0.9783021783	0.1415166706
217	0.9783021783	0.1408997374
218	0.9783021783	0.1397682392
219	0.9783021783	0.1393544657
220	0.9783021783	0.1393326718
221	0.9783021783	0.1386560703
222	0.9783021783	0.138098745
223	0.9783021783	0.1370069136
224	0.9783021783	0.136287543
225	0.9783021783	0.1355674142
226	0.9783021783	0.1348840652
227	0.9783021783	0.1341832397
228	0.9783021783	0.1336782661
229	0.9783021783	0.1336579545
230	0.9783021783	0.1329807843
231	0.9783021783	0.1325116513
232	0.9783021783	0.1318285608
233	0.9783021783	0.1313536455
234	0.9783021783	0.1307258885
235	0.9783021783	0.1302674845
236	0.9783021783	0.1299625941
237	0.9783021783	0.1294780702
238	0.9783021783	0.1291333149
239	0.9783021783	0.1287834752
240	0.9783021783	0.1282520888
241	0.9783021783	0.1277869802
242	0.9783021783	0.1272408318
243	0.9783021783	0.1265217629
244	0.9787070362	0.1258127507
245	0.9787070362	0.125792508
246	0.9787070362	0.1250500682
247	0.9787070362	0.1246075033
248	0.9787070362	0.1240863114
249	0.9787070362	0.1240669477
250	0.9787070362	0.1233672942
251	0.9787070362	0.1229491602
252	0.9787070362	0.1225643331
253	0.9787070362	0.1222094607
254	0.9787070362	0.1217565547
255	0.9787070362	0.1217381303
256	0.9787070362	0.1217210674
257	0.9787070362	0.1213381879
258	0.9787070362	0.1213227538
259	0.9787070362	0.1209446054
260	0.9787070362	0.1206022458
261	0.9787070362	0.1203672269
262	0.9787070362	0.1199144328
263	0.9787070362	0.1194015139
264	0.9787070362	0.1190796297
265	0.9787070362	0.1190648936
266	0.9787070362	0.1190512089
267	0.9787070362	0.1190384979
268	0.9787070362	0.1190266574
269	0.9787070362	0.1187815128
270	0.9787070362	0.1184692114
271	0.9787070362	0.1184578448
272	0.9787070362	0.1179344985
273	0.9787070362	0.1176935852
274	0.9787070362	0.1176830286
275	0.9787070362	0.1172369133
276	0.9787070362	0.1168841436
277	0.9787070362	0.1165897409
278	0.9787070362	0.1165800461
279	0.9787070362	0.1165710493
280	0.9787070362	0.1157832638
281	0.9787070362	0.1157748788
282	0.9787070362	0.1155419454
283	0.9787070362	0.1155339827
284	0.9787070362	0.1151347298
285	0.9787070362	0.1151271291
286	0.9787070362	0.1151200368
287	0.9787070362	0.1151134185
288	0.9787070362	0.1144195733
289	0.9787070362	0.1144132221
290	0.9787070362	0.1144073535
291	0.9793393506	0.1140950693
292	0.9793393506	0.1140894507
293	0.9793393506	0.1136485661
294	0.9793393506	0.113643094
295	0.9793393506	0.1136380268
296	0.9793393506	0.1136332096
297	0.9793393506	0.1136287543
298	0.9793393506	0.1134055673
299	0.9793393506	0.1134011724
300	0.9793393506	0.1132089053
